stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001060090000,Hallstavik station (Norrtälje),60.051024,18.594209,1,,
9021001063500000,Folkets hus (Hallstavik) (Norrtälje),60.050382,18.596112,1,,
9021001064121000,Sättra vägskäl (Hallstavik) (Norrtälje),60.041646,18.557061,1,,
9021001064123000,Rörvägen (Hallstavik) (Norrtälje),60.048758,18.578143,1,,
9021001064125000,Kustvägen (Hallstavik) (Norrtälje),60.049816,18.589761,1,,
9021001064162000,Gråska södra (Norrtälje),60.080064,18.511874,1,,
9021001064164000,Gråska (Norrtälje),60.082896,18.502489,1,,
9021001064166000,Gråska norra,60.089536,18.483290,1,,
9021001064168000,Midskog (Norrtälje),60.060371,18.526662,1,,
9021001064174000,Gråska kraftstation (Norrtälje),60.076249,18.520098,1,,
9021001064205000,Hallsta Pappersbruk,60.059844,18.596750,1,,
9021001064250000,Centralskolan (Hallstavik) (Norrtälje),60.057455,18.599296,1,,
9021001068500000,Forsbol (Norrtälje),60.037361,18.502652,1,,
9021001068502000,Västerbacken (Norrtälje),60.038748,18.492335,1,,
9021003092004000,Måsberget (Gävle kn),60.668985,17.185443,1,,
9021003092014000,Sörby Urfjäll (Gävle kn),60.661715,17.177505,1,,
9021003093004000,Hässlögatan (Västerås),59.608213,16.632773,1,,
9021003093026000,Mimerporten (Västerås),59.611259,16.553061,1,,
9021003093027000,Tortunavägen (Västerås),59.612613,16.612419,1,,
9021003093028000,Klinta (Västerås),59.604713,16.652417,1,,
9021003093029000,Hagbyholm (Västerås),59.601735,16.660240,1,,
9021003093030000,Gäddeholms vägskäl (Västerås),59.600472,16.669559,1,,
9021003093031000,Irsta macken (Västerås),59.600629,16.697047,1,,
9021003093032000,Solhem (Västerås),59.596221,16.715381,1,,
9021003093038000,Hagalund (Irsta) (Västerås),59.594810,16.725896,1,,
9021003093039000,Panko västra (Västerås),59.595585,16.739480,1,,
9021003093040000,Panko östra (Västerås),59.595761,16.747453,1,,
9021003093041000,Kärrbo vägskäl (Västerås),59.594613,16.760931,1,,
9021003093042000,Väsby (Västerås),59.594061,16.779843,1,,
9021003093043000,Darsta (Västerås),59.600780,16.788945,1,,
9021003093044000,Ändesta vägskäl (Västerås),59.604816,16.794199,1,,
9021003093054000,Irsta kyrka (Västerås),59.598537,16.704943,1,,
9021003093130000,Hälla köpcentrum (Västerås),59.610344,16.622232,1,,
9021003093140000,Pilgatan (Västerås),59.612456,16.563469,1,,
9021003099100000,Lindvalls bussuppställning (Uppsala),59.855517,17.650560,1,,
9021003099103000,Gamla Uppsala Buss (Uppsala),59.854558,17.720273,1,,
